Wall time,Step,Value
1672348819.752132,1,0.0004347696667537093
1672348820.0514925,2,0.0002398711076239124
1672348820.36026,3,0.00015303071995731443
1672348820.7141032,4,0.00014685797214042395
1672348821.128835,5,0.0001444620284019038
1672348821.4888597,6,0.00014247323269955814
1672348821.9094067,7,0.00013981763913761824
1672348822.333975,8,0.00013564046821556985
1672348822.6766613,9,0.0001302107993979007
1672348823.1012108,10,0.00012519433221314102
1672348823.4228497,11,0.0001206367087434046
1672348824.1357489,12,0.00011697692389134318
1672348824.5456467,13,0.00011343479854986072
1672348824.9511316,14,0.00010904357623076066
1672348825.337311,15,0.00010430240945424885
1672348825.7767146,16,9.978815069189295e-05
1672348826.2014558,17,9.549657988827676e-05
1672348826.4821017,18,9.135370783042163e-05
1672348826.8697848,19,8.78787468536757e-05
1672348827.218974,20,8.52073571877554e-05
1672348827.62278,21,8.300122863147408e-05
1672348827.9458506,22,8.120549318846315e-05
1672348828.3118222,23,7.946496771182865e-05
1672348828.6020265,24,7.768203067826107e-05
1672348828.9891024,25,7.591183384647593e-05
1672348829.4670985,26,7.406390795949847e-05
1672348830.0703006,27,7.220263069029897e-05
1672348830.4694028,28,7.055725291138515e-05
1672348830.7944508,29,6.902623135829344e-05
1672348831.133781,30,6.755815411452204e-05
1672348831.5255969,31,6.612417928408831e-05
1672348832.0452614,32,6.466500053647906e-05
1672348832.4369948,33,6.317321094684303e-05
1672348832.7779102,34,6.167116953292862e-05
1672348833.1174583,35,6.0181937442393973e-05
1672348833.4062846,36,5.883536869077943e-05
1672348833.7125456,37,5.7571043726056814e-05
1672348834.0212939,38,5.63501707802061e-05
1672348834.3305748,39,5.515611337614246e-05
1672348834.8732085,40,5.4026528232498094e-05
1672348835.2750835,41,5.287855310598388e-05
1672348835.6074674,42,5.1732313295360655e-05
1672348835.900557,43,5.0752907554851845e-05
1672348836.1500072,44,4.965983680449426e-05
1672348836.4151378,45,4.8866248107515275e-05
1672348836.657449,46,4.803428237210028e-05
1672348836.8986833,47,4.7201599954860285e-05
1672348837.1430714,48,4.6380533603951335e-05
1672348837.4185073,49,4.560409070109017e-05
1672348837.694893,50,4.49983162980061e-05
1672348837.9656234,51,4.4368371163727716e-05
1672348838.197897,52,4.384929343359545e-05
1672348838.4515069,53,4.33681852882728e-05
1672348838.7161188,54,4.2830390157178044e-05
1672348838.9699378,55,4.239993722876534e-05
1672348839.215641,56,4.1808889363892376e-05
1672348839.4711833,57,4.136169809498824e-05
1672348839.7383327,58,4.102677121409215e-05
1672348840.0588903,59,4.063870073878206e-05
1672348840.5080326,60,4.018008985440247e-05
1672348840.91683,61,3.996525992988609e-05
1672348841.1911712,62,3.955437205149792e-05
1672348841.5972393,63,3.9057496906025335e-05
1672348842.0645318,64,3.866394399665296e-05
1672348842.5260193,65,3.834728340734728e-05
1672348842.907765,66,3.7978519685566425e-05
1672348843.2498019,67,3.7776237149955705e-05
1672348843.583086,68,3.7464287743205205e-05
1672348843.9107466,69,3.7146393879083917e-05
1672348844.2667005,70,3.6824563721893355e-05
1672348844.5635607,71,3.652855957625434e-05
1672348844.8539858,72,3.630475475802086e-05
1672348845.1972241,73,3.6034045479027554e-05
1672348845.4897246,74,3.5855591704603285e-05
1672348845.810119,75,3.552962516550906e-05
1672348846.1217613,76,3.53590767190326e-05
1672348846.4903884,77,3.502313484204933e-05
1672348846.821168,78,3.4743614378385246e-05
1672348847.0717306,79,3.4507833333918825e-05
1672348847.3181744,80,3.4370146750006825e-05
1672348847.5801334,81,3.419162021600641e-05
1672348847.850715,82,3.401947469683364e-05
1672348848.1162353,83,3.3796146453823894e-05
1672348848.3413422,84,3.3344618714181706e-05
1672348848.679588,85,3.312371336505748e-05
1672348848.9577343,86,3.292049950687215e-05
1672348849.3295689,87,3.265001214458607e-05
1672348849.8753438,88,3.2375846785726026e-05
1672348850.8565001,89,3.2219759305007756e-05
1672348851.2759244,90,3.200587161700241e-05
1672348851.9596534,91,3.174274752382189e-05
1672348852.3521385,92,3.1504270737059414e-05
1672348852.7647407,93,3.129473770968616e-05
1672348853.1628263,94,3.119276152574457e-05
1672348853.5482888,95,3.104032657574862e-05
1672348853.8571682,96,3.074354390264489e-05
1672348854.1996002,97,3.0471330319414847e-05
1672348854.4883752,98,3.0211042030714452e-05
1672348854.7483585,99,3.000650212925393e-05
1672348855.0510669,100,2.9785651349811815e-05
1672348855.3195186,101,2.9685232220799662e-05
1672348855.6214921,102,2.9396260288194753e-05
1672348855.9300678,103,2.9267162972246297e-05
1672348856.2657082,104,2.90259558823891e-05
1672348856.6120453,105,2.8953987566637807e-05
1672348856.9185052,106,2.866218528652098e-05
1672348857.2275891,107,2.8452663173084147e-05
1672348857.5393815,108,2.8282205676077865e-05
1672348857.820611,109,2.8094107619835995e-05
1672348858.0780432,110,2.7930864234804176e-05
1672348858.3375952,111,2.7870273697772063e-05
1672348858.6061344,112,2.7703505111276172e-05
1672348858.8787644,113,2.744762423390057e-05
1672348859.1381166,114,2.7270696591585875e-05
1672348859.4119563,115,2.712710374908056e-05
1672348859.6696897,116,2.6933770641335286e-05
1672348859.9478316,117,2.679347016965039e-05
1672348860.2193782,118,2.6676490961108357e-05
1672348860.481866,119,2.649930502229836e-05
1672348860.7402878,120,2.633231270010583e-05
1672348861.0030477,121,2.621784369694069e-05
1672348861.2776449,122,2.6054034606204368e-05
1672348861.5349135,123,2.5923189241439104e-05
1672348861.8062775,124,2.5775221729418263e-05
1672348862.059227,125,2.5587472919141874e-05
1672348862.3254461,126,2.556127765274141e-05
1672348862.5955176,127,2.5361921871080995e-05
1672348862.8730426,128,2.533008409955073e-05
1672348863.299196,129,2.5222330805263482e-05
1672348863.5480595,130,2.497927562217228e-05
1672348863.803069,131,2.4870092602213845e-05
1672348864.0552065,132,2.4987766664708033e-05
1672348864.302316,133,2.4666329409228638e-05
1672348864.537948,134,2.452863918733783e-05
1672348864.7945464,135,2.4397568267886527e-05
1672348865.0463696,136,2.433302506688051e-05
